SMILES,pEC50,fc_8p25,fc_33,fc_99,logD
CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,5.27,0.5068829713742037,1.179786135551948,,
CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CCNC1,5.08,0.3619029113373966,1.0317780335174265,,
O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2c2c(F)cccc2F)C1,5.12,0.7219549743334992,1.1455730224731542,,
CC1CN(C(=O)c2cccc(-c3c(F)cccc3F)c2)CCN1c1nccn2cnnc12,5.23,0.7086440665378128,1.1419242884751548,,
CC1(c2noc(C3=NN(Cc4ccc(F)cc4)C(=O)CC3)n2)CCC1,5.28,0.8231828685227939,1.400393638875089,,
COc1ncnc(OC)c1C(=O)N1CCC(Cc2ccc(F)cc2)C1,4.5,0.5688220981118736,1.1578609110273863,,
CCS(=O)(=O)N1CCC(c2ccccc2)(c2nc(Cc3cnc(C4CC4)o3)no2)CC1,4.66,0.8821222933077013,1.423858809543875,,
Fc1ccc(C2CCC(n3cc(C4CCNCC4)nn3)C2)cc1F,5.18,0.6474783613029096,1.2044746684163088,,
CC(C)c1ccc(CNC(=O)NCC2CC3(CC3)S(=O)(=O)N2)cc1,4.31,0.4613723910260878,0.9972364368874737,,
Cc1nnc2ccc(-c3noc(C4CC(C)(C)Oc5ccccc54)n3)cn12,4.24,0.913145259885848,1.7872669186980257,,
CN(CC1CCCCC1O)C(=O)NCC1CCN(CC(F)(F)F)CC1,5.3,0.85814088875452,1.5225820699943091,,
CCCOc1ccc(S(=O)(=O)Nc2noc(Cc3ccccc3)n2)cc1,4.19,0.1886299671590788,1.7737894786978778,,
COCC(NC(=O)c1cc(S(=O)(=O)N(C)C)c[nH]1)c1cccc(Br)c1,5.07,0.6508446173884229,1.2228956962378643,,
Cc1ccc(NCc2cccc3ccccc23)cc1-n1cnnn1,5.12,0.6260885448609141,1.173254799151803,,
O=C(Cc1cc2cc(Cl)ccc2[nH]1)N[C@H]1CCCc2cccnc21,5.03,0.8902358031395418,1.638588739562039,,
Cc1ccc(C)c(S(=O)(=O)NCC(=O)N2CCC(C3CCCO3)C2)c1,5.14,0.5469948537137179,1.3426690104640002,,
O=C(CNS(=O)(=O)c1ccccc1F)N1C[C@H]2C[C@H](c3ccccc3)[C@H]2C1,5.07,0.6865767813695185,1.2035454830145875,,
Cc1nocc1Cc1noc(-c2cccn(CC(C)C)c2=O)n1,5.44,0.4534440208527669,1.230034209160781,,
Cc1cc(F)ccc1Cc1noc(C2CCc3nccn3C2)n1,3.96,0.4924833332989108,1.0522802861577922,,
COC(c1noc(Cc2cc(C)on2)n1)c1ccccc1Cl,4.36,0.7015355282807711,1.3848437382650962,,
CC(C)Oc1ccccc1CC(=O)NC1CCN(Cc2ccccc2)C1=O,5.19,0.8942069323252083,1.2166797424013456,,
O=C1CCCN1[C@H]1CCCC[C@H]1c1nc(-c2cnn(CCF)c2)no1,4.76,0.4683909030496238,1.035451270459959,,
COc1cc(NCCNC(=O)c2cnn3c2NCCC3)cc(OC)c1,4.74,0.6222860855803778,1.0362060254230137,,
O=C(NCc1c[nH]c(=O)c2ccccc12)N1CC2(CC=CC2)C1c1ccccc1,5.02,0.7129486083921817,1.0692303989064778,,
Cc1cc(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2CC3(CCC3)C2)c(C)cc1Cl,5.2,0.9683401848358226,1.480729401785992,,
CC(C)(C)OC(=O)N1CC2(CCCC2)CCC1CN1CCCN(C(N)=O)CC1,4.61,0.4791837909277318,1.1061929730871014,,
CCc1nn(Cc2cccc3c2CCOC3)c(=O)c(C#N)c1CC,5.44,0.6914223735549365,1.0190950985374174,,
O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)c1cnc2ccccc2c1,4.81,0.5327916958769751,1.1943012003202855,,
Cc1nccn1-c1ncccc1CNC1CCCc2ccc(F)cc21,4.69,0.6652759117392002,1.0320197142580252,,
CCn1ccnc1[C@H]1OCCC[C@@H]1NC(=O)c1ccc(Br)o1,4.87,0.5434692969579309,1.3892654743724575,,
CCC(=O)NC(C(=O)N1CC=C(c2cccs2)CC1)c1ccccc1,4.45,0.7672916066186224,1.497632474587425,,
O=C(NC1(c2c(F)cccc2F)CCC1)C1CNCc2ccccc21,5.26,0.7074570056551884,1.5737684466226318,,
CCOc1ccc(C(=O)N(C)CCc2ccc(O)c(OC)c2)cc1C,4.48,0.6342717024297614,1.598909839017218,,
COC(=O)[C@H]1[C@H]2CC[C@H]2CN1C(=O)CCc1n[nH]c2ccccc12,4.58,0.5001268258354509,1.021851072324421,,
CC(C)Cn1cc(C(=O)N2CCCC2c2ccc3c(c2)OCO3)cn1,4.95,0.8183116178878942,1.2346740149859268,,
Cc1cnn(C)c1S(=O)(=O)N(C)CCNc1ccccn1,4.68,0.5528261080205313,1.2559186432758311,,
Cc1cccc(C2CCCN2C(=O)CCn2c(=O)n(C)c3ccccc32)n1,5.31,0.9535262987215614,1.3466012618956529,,
CCN1N=C(c2ccccc2)C(C(=O)Nc2ccccc2F)C1=O,4.6,0.5138756184847343,1.3396088403040725,,
CCCOC1(c2noc(-c3cc(=O)[nH]c(C4CC4)n3)n2)CCCCC1,5.11,0.8560161767641891,1.2033393518258677,,
O=C1NC(Cc2ccccn2)C(=O)N1CCc1cccc2cccnc12,5.18,0.7199923428779909,1.2170751163058502,,
CC(Sc1nnc(-c2c[nH]c3ccccc23)o1)C(=O)NCC(F)(F)F,4.85,0.2549642421866078,1.0097713837818287,,
CN(C)c1cccc(S(=O)(=O)N2CCN(c3cnccn3)CC2)c1,4.99,0.7349737356190337,1.1477704441445455,,
COc1ccc(CC(=O)NC(c2ccc(F)c(F)c2)C(C)(C)N2CCCC2)cc1,4.93,0.7516635989440619,1.420482812254809,,
CNC(=O)c1ncoc1C1C2CC1N(C(=O)Cc1ccc(Cl)cc1Cl)C2,5.13,0.6714593340628647,1.2587637578138091,,
O=C(Cc1noc2ccccc12)NC1CCCN(Cc2ccc(F)cc2F)C1=O,5.42,0.7175646095247779,1.030815407453866,,
C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1,4.93,0.9774172419387483,1.478082129950698,,
O=C1CCCN1CC(NCc1n[nH]c2ccccc12)c1ccccc1,4.72,0.627820924318552,1.300285832326296,,
COC1(C)CCCN(C(=O)c2ncccc2NCC2CCC2)CC1,5.24,0.917399521979923,1.2112750733446491,,
COc1ccc2nc(C(=O)N(C)CCc3ccc(F)cc3)ccc2c1,5.09,0.851280941357456,1.491840684345506,,
CCOC(=O)c1c(NC(=O)CN(C)Cc2ccon2)sc(C(N)=O)c1C,5.3,0.962525117993843,1.3260017080026287,,
O=C(c1ccc(-c2nc3ccccc3s2)o1)N1CCCC(N2CCNC2=O)C1,4.18,0.5416285784511108,1.3187165542323225,,
O=C1c2ccccc2CN1CC(=O)N1CCCC1c1nc2ccccc2s1,4.94,0.6146279063100804,1.1066290755496508,,
