SMILES,pEC50,logD
Brc1c(NC2=NCCN2)ccc2nccnc12,2.248452469632511,
Brc1ccc(-c2n[nH]cc2CN2CCN(C3CCOCC3)CC2)cc1,2.2661388964307343,
Brc1ccc(-c2noc(-c3ccnn3C3CCCC3)n2)o1,4.2985354196049865,
Brc1ccc(Cc2nc(N3CCNCC3)no2)c2ccccc12,3.3733169482990957,
Brc1cnc(C2CCCN2c2ncnc3[nH]ncc23)nc1,2.668451484256255,
Brc1cnc(C2CCCN2c2ncnc3c2CCC3)nc1,2.921848226942092,
Brc1cncc(-c2cn(Cc3ncc(C4CC4)o3)nn2)c1,3.3727984889915374,
C#CC1(O)CCN(C(=O)NCCc2c(C)[nH]c3ccccc23)CC1,3.4654591214789576,
C#CCCN1CCCN(c2ncc(S(N)(=O)=O)cn2)CC1,2.243452145381487,
C#CCN(C(=O)c1cnc(Nc2ccc(F)c(F)c2)c(Cl)c1)C1CCN(C)CC1,4.2419880007545565,
C#CCNC(=O)CSc1nnc(Nc2ccc(C(C)C)cc2)s1,3.9744198621522897,
C#CCN[C@@H]1CCc2ccccc21,2.2799257149726,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,2.803995627959311,
C#Cc1ccc(-c2nnc([C@H]3CCO[C@@H]3c3ccccc3)[nH]2)nc1,2.392275798666967,
C#Cc1ccc(C2CCCN2C(=O)c2cnccc2C)cc1,4.542042460998149,
C(=C\c1ccccc1)/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,3.448297599198968,
C1=C(CCNc2ncnc3c2cnn3-c2ncccn2)CCOC1,2.2767425261754553,
C1=CC2(CCCN(c3ccc4nccnc4n3)C2)Oc2ccccc21,4.875084061097283,
C1=C[C@@H](CNc2ncnc3c2cnn3-c2ccccc2)[C@H]2CO[C@@H]1C2,2.6764860979324117,
C1N2CN3CN1CN(C2)C3,2.2826915019771947,
C=C(C)C1OCCC1CNC(=O)CCn1c(C)c(C)sc1=O,2.450067754594603,
C=C(C)C1OCCC1CNC(=O)N1CCC(c2c[nH]c3ccccc23)CC1,4.5333080835931865,
C=C(C)C1OCCC1CNC(=O)NC1CS(=O)(=O)c2ccccc21,2.963026373354514,
C=C(C)CCN(CC(=O)NC)C(=O)c1ccc(NC(C)=O)c(F)c1,2.323232950709645,
C=C(C)CN1CCC(NC(=O)C2CCCN(C(=O)C(C)(C)C)C2)CC1,2.3508573669957533,
C=C(C)Cn1c(-c2cnccn2)nnc1N1CCC(C)(COC)CC1,2.891084241798902,
C=C(C)Cn1c(C(O)C2CC2)nnc1N1CCC2(CCCCO2)CC1,4.193891955898689,
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.293945864361479,
C=C1CCN(C(=O)NCc2ccc(S(=O)(=O)NC3CC3)cc2)CC1,3.4962867957871815,
C=C1COc2c(C(=O)NCc3n[nH]c4ccc(Cl)cc34)cnn2C1,3.202018668739562,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,4.635937421314579,
C=CC(COC)NC(=O)N1CCC(c2cncn2C)CC1,2.3308301267768874,
C=CC(N)CCC(=O)O,2.932108803405903,
C=CCC1(O)CN(S(=O)(=O)c2cnn(C3CCCC3)c2)C1,4.4421481421341795,
C=CCCCCCCCCC(=O)O,2.3685444689434463,
C=CCCc1ccc(S(=O)(=O)Nc2ccc3oc(=O)cc(O)c3c2)cc1,2.423910243464121,
C=CCN(C)c1ccc(S(N)(=O)=O)cc1C(=O)N[C@H](C)C(=O)O,2.359060494437434,
C=CCN1CCC(NC2CC3(C2)CC3NC(=O)OC(C)(C)C)CC1,2.3374684201724274,
C=CCN1CCC(n2cnc3c(sc4ncccc43)c2=O)C1=O,2.351756156917187,
